"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","106",".focus() - focus on a DOM element","Actions","2026-03-19","passed","2026-03-19","","","",""
"","77","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-03-19","passed","2026-03-19","","","",""
"","95","cy.clearAllCookies() - clear all browser cookies","Cookies","2026-03-19","passed","2026-03-19","","","",""
"","81",".parents() - get parent DOM elements from DOM elements","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","2534","cy.spy() retries until assertions pass","Spies, Stubs, and Clock","2026-03-19","passed","2026-03-19","","","",""
"","245","can delete all completed tasks","example to-do app","2026-03-19","passed","2026-03-19","","with a checked task","",""
"","660","cy.exec() - execute a system command","Misc","2026-03-19","passed","2026-03-19","","","",""
"","92","can throw any error","Assertions","2026-03-19","passed","2026-03-19","","Explicit Assertions","",""
"","172","cy.clock() - control time in the browser","Spies, Stubs, and Clock","2026-03-19","passed","2026-03-19","","","",""
"","82",".spread() - spread an array as individual args to callback function","Connectors","2026-03-19","passed","2026-03-19","","","",""
"","75","Cypress.minimatch - test out glob patterns against strings","Utilities","2026-03-19","passed","2026-03-19","","","",""
"","78","Cypress.Screenshot.defaults() - change default config of screenshots","Misc","2026-03-19","passed","2026-03-19","","Cypress.Screenshot","",""
"","80",".prevAll() - get all previous sibling DOM elements","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","388",".end() - end the command chain","Misc","2026-03-19","passed","2026-03-19","","","",""
"","192","cy.hash() - get the current URL hash","Location","2026-03-19","passed","2026-03-19","","","",""
"","99","invokes a callback function with the current subject","Connectors","2026-03-19","passed","2026-03-19","",".then()","",""
"","85",".eq() - get a DOM element at a specific index","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","107","yields the returned value to the next command","Connectors","2026-03-19","passed","2026-03-19","",".then()","",""
"","330","cy.fixture() - load a fixture","Files","2026-03-19","passed","2026-03-19","","","",""
"","233","Cypress.Blob - blob utilities and base64 string conversion","Utilities","2026-03-19","passed","2026-03-19","","","",""
"","178",".dblclick() - double click on a DOM element","Actions","2026-03-19","passed","2026-03-19","","","",""
"","92",".first() - get first DOM element","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","780",".check() - check a checkbox or radio element","Actions","2026-03-19","passed","2026-03-19","","","",""
"","185","cy.writeFile() - write to a file","Files","2026-03-19","passed","2026-03-19","","","",""
"","101",".invoke() - invoke a function on the current subject","Connectors","2026-03-19","passed","2026-03-19","","","",""
"","1072","Cypress.Promise - instantiate a bluebird promise","Utilities","2026-03-19","passed","2026-03-19","","","",""
"","227","cy.tick() - move time in the browser","Spies, Stubs, and Clock","2026-03-19","passed","2026-03-19","","","",""
"","207","cy.request() with query parameters","Network Requests","2026-03-19","passed","2026-03-19","","","",""
"","103","Get and set configuration options","Cypress APIs","2026-03-19","passed","2026-03-19","","Cypress.config()","",""
"","209",".children() - get child DOM elements","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","90",".find() - get descendant DOM elements of the selector","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","79","cy.wrap() - wrap an object","Misc","2026-03-19","passed","2026-03-19","","","",""
"","4389","cy.wait() - wait for a specific amount of time","Waiting","2026-03-19","passed","2026-03-19","","","",""
"","114",".trigger() - trigger an event on a DOM element","Actions","2026-03-19","passed","2026-03-19","","","",""
"","588","best practices - selecting elements","Querying","2026-03-19","passed","2026-03-19","","","",""
"","155","cy.clearAllSessionStorage() - clear all data in sessionStorage for all origins","Local Storage / Session Storage","2026-03-19","passed","2026-03-19","","","",""
"","170","cy.clearCookie() - clear a browser cookie","Cookies","2026-03-19","passed","2026-03-19","","","",""
"","90","cy.url() - get the current URL","Location","2026-03-19","passed","2026-03-19","","","",""
"","85",".isHidden() - determine if a DOM element is hidden","Cypress APIs","2026-03-19","passed","2026-03-19","","Cypress.dom","",""
"","80",".next() - get next sibling DOM element","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","269","cy.getCookie() - get a browser cookie","Cookies","2026-03-19","passed","2026-03-19","","","",""
"","239","cy.request() - verify response using BDD syntax","Network Requests","2026-03-19","passed","2026-03-19","","","",""
"","84","cy.root() - query the root DOM element","Querying","2026-03-19","passed","2026-03-19","","","",""
"","115","cy.contains() - query DOM elements with matching content","Querying","2026-03-19","passed","2026-03-19","","","",""
"","337","cy.reload() - reload the page","Navigation","2026-03-19","passed","2026-03-19","","","",""
"","79",".not() - remove DOM elements from set of DOM elements","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","77",".parent() - get parent DOM element from DOM elements","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","743","cy.go() - go back or forward in the browser's history","Navigation","2026-03-19","passed","2026-03-19","","","",""
"","235","cy.request() - save response in the shared test context","Network Requests","2026-03-19","passed","2026-03-19","","","",""
"","169","can check off an item as completed","example to-do app","2026-03-19","passed","2026-03-19","","","",""
"","76","Get current spec information","Cypress APIs","2026-03-19","passed","2026-03-19","","Cypress.spec","",""
"","79","yields the original subject without return","Connectors","2026-03-19","passed","2026-03-19","",".then()","",""
"","24","matches call arguments using Sinon matchers","Spies, Stubs, and Clock","2026-03-19","passed","2026-03-19","","","",""
"","114","cy.location() - get window.location","Location","2026-03-19","passed","2026-03-19","","","",""
"","493","displays two todo items by default","example to-do app","2026-03-19","passed","2026-03-19","","","",""
"","104",".closest() - get closest ancestor DOM element","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","2105","cy.scrollTo() - scroll the window or element to a position","Actions","2026-03-19","passed","2026-03-19","","","",""
"","250","cy.wait() - wait for a specific route","Waiting","2026-03-19","passed","2026-03-19","","","",""
"","83",".last() - get last DOM element","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","82",".prevUntil() - get all previous sibling DOM elements until el","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","121","finds element by class name regex","Assertions","2026-03-19","passed","2026-03-19","","Explicit Assertions","",""
"","106","expect - make an assertion about a specified subject","Assertions","2026-03-19","passed","2026-03-19","","Explicit Assertions","",""
"","414",".submit() - submit a form","Actions","2026-03-19","passed","2026-03-19","","","",""
"","88","Get environment variables","Cypress APIs","2026-03-19","passed","2026-03-19","","Cypress.env()","",""
"","77","yields the value yielded by the last Cypress command inside","Connectors","2026-03-19","passed","2026-03-19","",".then()","",""
"","3640",".type() - type into a DOM element","Actions","2026-03-19","passed","2026-03-19","","","",""
"","397","can add new todo items","example to-do app","2026-03-19","passed","2026-03-19","","","",""
"","404","cy.intercept() - route responses to matching requests","Network Requests","2026-03-19","passed","2026-03-19","","","",""
"","169","cy.clearCookies() - clear browser cookies for the current domain","Cookies","2026-03-19","passed","2026-03-19","","","",""
"","244","can filter for uncompleted tasks","example to-do app","2026-03-19","passed","2026-03-19","","with a checked task","",""
"","87","Get CPU architecture name of underlying OS","Cypress APIs","2026-03-19","passed","2026-03-19","","Cypress.arch","",""
"","99","cy.setCookie() - set a browser cookie","Cookies","2026-03-19","passed","2026-03-19","","","",""
"","87",".filter() - get DOM elements that match the selector","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","95","cy.readFile() - read file contents","Files","2026-03-19","passed","2026-03-19","","","",""
"","194",".each() - iterate over an array of elements","Connectors","2026-03-19","passed","2026-03-19","","","",""
"","192",".add() - create a custom command","Cypress APIs","2026-03-19","passed","2026-03-19","","Cypress.Commands","",""
"","270","Cypress._ - call a lodash method","Utilities","2026-03-19","passed","2026-03-19","","","",""
"","115",".scrollIntoView() - scroll an element into view","Actions","2026-03-19","passed","2026-03-19","","","",""
"","291","cy.visit() - visit a remote url","Navigation","2026-03-19","passed","2026-03-19","","","",""
"","279","cy.request() - pass result to the second request","Network Requests","2026-03-19","passed","2026-03-19","","","",""
"","89","assert - assert shape of an object","Assertions","2026-03-19","passed","2026-03-19","","Explicit Assertions","",""
"","84",".nextAll() - get all next sibling DOM elements","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","150","cy.getAllSessionStorage() - get all data in sessionStorage for all origins","Local Storage / Session Storage","2026-03-19","passed","2026-03-19","","","",""
"","119","cy.getAllCookies() - get all browser cookies","Cookies","2026-03-19","passed","2026-03-19","","","",""
"","276",".should() - make an assertion about the current subject","Assertions","2026-03-19","passed","2026-03-19","","Implicit Assertions","",""
"","115",".and() - chain multiple assertions together","Assertions","2026-03-19","passed","2026-03-19","","Implicit Assertions","",""
"","478",".clear() - clears an input or textarea element","Actions","2026-03-19","passed","2026-03-19","","","",""
"","102","cy.fixture() or require - load a fixture","Files","2026-03-19","passed","2026-03-19","","","",""
"","242","can filter for completed tasks","example to-do app","2026-03-19","passed","2026-03-19","","with a checked task","",""
"","205","cy.get() - query DOM elements","Querying","2026-03-19","passed","2026-03-19","","","",""
"","850",".select() - select an option in a <select> element","Actions","2026-03-19","passed","2026-03-19","","","",""
"","2760","cy.viewport() - set the viewport size and dimension","Viewport","2026-03-19","passed","2026-03-19","","","",""
"","378",".as() - alias a DOM element for later use","Aliasing","2026-03-19","passed","2026-03-19","","","",""
"","180","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-03-19","passed","2026-03-19","","","",""
"","370",".blur() - blur off a DOM element","Actions","2026-03-19","passed","2026-03-19","","","",""
"","80",".prev() - get previous sibling DOM element","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","182","cy.window() - get the global window object","Window","2026-03-19","passed","2026-03-19","","","",""
"","1835",".click() - click on a DOM element","Actions","2026-03-19","passed","2026-03-19","","","",""
"","87","cy.title() - get the title","Window","2026-03-19","passed","2026-03-19","","","",""
"","152","cy.clearAllLocalStorage() - clear all data in localStorage for all origins","Local Storage / Session Storage","2026-03-19","passed","2026-03-19","","","",""
"","85",".within() - query DOM elements within a specific element","Querying","2026-03-19","passed","2026-03-19","","","",""
"","762",".uncheck() - uncheck a checkbox element","Actions","2026-03-19","passed","2026-03-19","","","",""
"","81",".parentsUntil() - get parent DOM elements from DOM elements until el","Traversal","2026-03-19","passed","2026-03-19","","","",""
"","508",".as() - alias a route for later use","Aliasing","2026-03-19","passed","2026-03-19","","","",""
"","74","Get underlying OS name","Cypress APIs","2026-03-19","passed","2026-03-19","","Cypress.platform","",""
